Handle,Title,Option1 Name,Option1 Value,Tags
incia-eyelash-serum-for-eyelashes-and-eyebrows,INCIA Eyelash Serum for Eyelashes and Eyebrows,Title,Default Title,"All Products, On Sale, Personal Care"
incia-natural-liquid-laundry-liquid-soap,INCIA Natural Baby Laundry Liquid Soap,Title,Default Title,"All Products, Home Care, Mom & Baby Care, Must Haves"
incia-natural-dishwashing-soap,INCIA Natural Dishwashing Soap,Title,Default Title,"All Products, Home Care, Mom & Baby Care, Must Haves"
incia-natural-deodorant-for-dark-armpits,INCIA Natural Whitening Roll On Deodorant for Dark Armpits,Title,Default Title,"All Products, Must Haves, On Sale, Personal Care"
incia-natural-foaming-hand-soap-for-kids,INCIA Natural Foaming Hand Soap for Kids,Title,Default Title,"All Products, Home Care, Mom & Baby Care"
